,A,Ea,P [Pa],T [K],b,kb,kf
140,347850500.0,83680000.0,101325.00000000001,540.0,0.0,[0.],[2.79972637]
141,347850500.0,83680000.0,101325.00000000001,541.0,0.0,[0.],[2.89785921]
142,347850500.0,83680000.0,101325.00000000001,542.0,0.0,[0.],[2.99905043]
143,347850500.0,83680000.0,101325.0,543.0,0.0,[0.],[3.10338281]
144,347850500.0,83680000.0,101325.0,544.0,0.0,[0.],[3.21094103]
145,347850500.0,83680000.0,101324.99999999999,545.0,0.0,[0.],[3.3218117]
146,347850500.0,83680000.0,101325.0,546.0,0.0,[0.],[3.43608332]
147,347850500.0,83680000.0,101325.00000000001,547.0,0.0,[0.],[3.55384643]
148,347850500.0,83680000.0,101325.0,548.0,0.0,[0.],[3.67519355]
149,347850500.0,83680000.0,101325.00000000001,549.0,0.0,[0.],[3.80021925]
150,347850500.0,83680000.0,101325.00000000001,550.0,0.0,[0.],[3.92902019]
151,347850500.0,83680000.0,101325.00000000001,551.0,0.0,[0.],[4.06169516]
152,347850500.0,83680000.0,101324.99999999999,552.0,0.0,[0.],[4.19834508]
153,347850500.0,83680000.0,101324.99999999999,553.0,0.0,[0.],[4.33907308]
154,347850500.0,83680000.0,101325.0,554.0,0.0,[0.],[4.48398452]
155,347850500.0,83680000.0,101325.0,555.0,0.0,[0.],[4.63318703]
156,347850500.0,83680000.0,101325.00000000001,556.0,0.0,[0.],[4.78679053]
157,347850500.0,83680000.0,101325.0,557.0,0.0,[0.],[4.9449073]
158,347850500.0,83680000.0,101325.00000000001,558.0,0.0,[0.],[5.10765198]
159,347850500.0,83680000.0,101325.00000000001,559.0,0.0,[0.],[5.27514167]
160,347850500.0,83680000.0,101325.0,560.0,0.0,[0.],[5.44749588]
161,347850500.0,83680000.0,101325.0,561.0,0.0,[0.],[5.62483666]
162,347850500.0,83680000.0,101325.0,562.0,0.0,[0.],[5.80728858]
163,347850500.0,83680000.0,101325.00000000001,563.0,0.0,[0.],[5.9949788]
164,347850500.0,83680000.0,101325.0,564.0,0.0,[0.],[6.18803709]
165,347850500.0,83680000.0,101325.00000000001,565.0,0.0,[0.],[6.38659592]
166,347850500.0,83680000.0,101325.0,566.0,0.0,[0.],[6.59079041]
167,347850500.0,83680000.0,101325.00000000001,567.0,0.0,[0.],[6.80075847]
168,347850500.0,83680000.0,101325.00000000001,568.0,0.0,[0.],[7.0166408]
169,347850500.0,83680000.0,101325.0,569.0,0.0,[0.],[7.23858091]
170,347850500.0,83680000.0,101324.99999999999,570.0,0.0,[0.],[7.46672521]
171,347850500.0,83680000.0,101325.0,571.0,0.0,[0.],[7.70122302]
172,347850500.0,83680000.0,101325.00000000001,572.0,0.0,[0.],[7.94222663]
173,347850500.0,83680000.0,101325.0,573.0,0.0,[0.],[8.18989134]
174,347850500.0,83680000.0,101324.99999999999,574.0,0.0,[0.],[8.44437551]
175,347850500.0,83680000.0,101324.99999999997,575.0,0.0,[0.],[8.70584061]
